Project ID,Sr No.,Item Name,Item Category,Quantity,UOM,Rate ($),Amount ($),Weight (kg),Month,Year,Company Name,City,Country
AG-JUN26,431,Distilled Water,Raw Material,1.0,No., $36.00 ,36.0,20.0,June,2026,Ali Global Trading Company,Lahore,Pakistan
DS-JUN26,432,Earth Bore,Raw Material,5.0,No., $107.00 ,536.0,500.0,June,2026,Dynamic Steels,Sheikhupura,Pakistan
DS-JUN26,433,Former Sheet,Raw Material,2.0,No., $21.00 ,43.0,40.0,June,2026,Dynamic Steels,Sheikhupura,Pakistan
AG-JUN26,434,Gas Cylinder,Raw Material,1.0,No., $7.00 ,7.0,50.0,June,2026,Ali Global Trading Company,Lahore,Pakistan
AG-JUN26,435,Kashif Ceiling,Raw Material,1.0,No., $74.00 ,74.0,10.0,June,2026,Ali Global Trading Company,Lahore,Pakistan
DS-JUN26,436,Laboratory,Raw Material,1.0,No., $643.00 ,643.0,300.0,June,2026,Dynamic Steels,Sheikhupura,Pakistan
AG-JUN26,437,Laboratory,Raw Material,1.0,No., $643.00 ,643.0,300.0,June,2026,Ali Global Trading Company,Lahore,Pakistan
AG-JUN26,438,Ladle ,Raw Material,2.0,No., $111.00 ,221.0,40.0,June,2026,Ali Global Trading Company,Lahore,Pakistan
DS-JUN26,439,Long Nose Plaier ,Raw Material,6.0,No., $11.00 ,64.0,2.0,June,2026,Dynamic Steels,Sheikhupura,Pakistan
DS-JUN26,440,Metal Drums,Raw Material,2.0,No., $25.00 ,50.0,60.0,June,2026,Dynamic Steels,Sheikhupura,Pakistan
DS-JUN26,441,Moulding Box,Raw Material,6.0,No.," $1,143.00 ",6857.0,250.0,June,2026,Dynamic Steels,Sheikhupura,Pakistan
DS-JUN26,442,MS Rod (1.5'' â€” 6'),Raw Material,3.0,No., $6.00 ,18.0,80.0,June,2026,Dynamic Steels,Sheikhupura,Pakistan
AG-JUN26,443,M-Tab,Raw Material,1.0,No., $18.00 ,18.0,1.0,June,2026,Ali Global Trading Company,Lahore,Pakistan
DS-JUN26,444,Oxygen Cylinder,Raw Material,3.0,No., $36.00 ,107.0,200.0,June,2026,Dynamic Steels,Sheikhupura,Pakistan
AG-JUN26,445,PVC,Raw Material,1.0,No.," $2,346.00 ",2346.0,20.0,June,2026,Ali Global Trading Company,Lahore,Pakistan
AG-JUN26,446,Rawal Bolt,Raw Material,1.0,No., $4.00 ,4.0,5.0,June,2026,Ali Global Trading Company,Lahore,Pakistan
AG-JUN26,447,Rent,Raw Material,1.0,No., $8.00 ,8.0,10.0,June,2026,Ali Global Trading Company,Lahore,Pakistan
AG-JUN26,448,Sheera Drum,Raw Material,1.0,No., $56.00 ,56.0,250.0,June,2026,Ali Global Trading Company,Lahore,Pakistan
AG-JUN26,449,Sheet,Raw Material,1.0,No.," $2,411.00 ",2411.0,50.0,June,2026,Ali Global Trading Company,Lahore,Pakistan
AG-JUN26,450,Sheet Rent,Raw Material,1.0,No., $64.00 ,64.0,25.0,June,2026,Ali Global Trading Company,Lahore,Pakistan
AG-JUN26,451,Silica Sand,Raw Material,1.0,No.," $1,071.00 ",1071.0,50.0,June,2026,Ali Global Trading Company,Lahore,Pakistan
AG-JUN26,452,Silicate Drum,Raw Material,1.0,No., $57.00 ,57.0,250.0,June,2026,Ali Global Trading Company,Lahore,Pakistan
DS-JUN26,453,Silver Scrap,Raw Material,250.0,kg, $2.00 ,536.0,250.0,June,2026,Dynamic Steels,Sheikhupura,Pakistan
AG-JUN26,454,Stairs (Wood),Raw Material,1.0,No., $12.00 ,12.0,150.0,June,2026,Ali Global Trading Company,Lahore,Pakistan
DS-JUN26,455,Yellow Gloves,Raw Material,48.0,No., $0.35 ,17.0,5.0,June,2026,Dynamic Steels,Sheikhupura,Pakistan
DS-JUN26,456,DC Combiner,Solar Material,1.0,No., $893.00 ,893.0,25.0,June,2026,Dynamic Steels,Sheikhupura,Pakistan
DS-JUN26,457,Solar Required Min 1 MW,Solar Material,1.0,No.,,,10.0,June,2026,Dynamic Steels,Sheikhupura,Pakistan
